Model,Time,accuracy,f1,auc_roc,auc_pr,mcc
AdaBoost,2010.856504201889,0.8229643183897529,0.8246414612969626,0.8983142381078768,0.8184599260377782,0.6199628451665025
GradientBoosting,1366.954933166504,0.8124428179322964,0.8155741883228814,0.9008062018933027,0.8358169560630713,0.6107025881622581
XGBoost,1240.2833054065704,0.82387923147301,0.8261844291551286,0.9045174216284763,0.8438059847794301,0.6275326951783684
LightGBM,554.2489550113678,0.8165599268069533,0.8198539222377376,0.905409515172963,0.8426765100601458,0.6228751100935803
CatBoost,2058.3231916427612,0.8161024702653248,0.8185630571139108,0.9054030640832818,0.8400222490587644,0.6113838248840137
