Model,Time,accuracy,precision,recall,f1,auc_roc,auc_pr,mcc,kappa
RandomForest,883.2774567604065,0.8174748398902104,0.8168938170010238,0.8174748398902104,0.8171624640738813,0.8954803665693475,0.8265704828434093,0.5967744007892171,0.5967375192681657
ExtraTrees,396.5949544906616,0.8138151875571821,0.8108422643202399,0.8138151875571821,0.810708915474408,0.8738784319797104,0.8071553879447066,0.5807678973188914,0.5780623254181665
BaggingClassifier,1109.2196345329285,0.8138151875571821,0.8111140806575542,0.8138151875571821,0.809067589808671,0.8917516367336105,0.8229300042063518,0.5783624121879241,0.572696229342068
