Model,Time,accuracy,f1,auc_roc,auc_pr,mcc
LogisticRegression,13.225927352905273,0.7886550777676121,0.7902809258690771,0.8597413297354684,0.7840724347245647,0.543283617937062
RidgeClassifier,4.694518566131592,0.792772186642269,0.7938091604387052,,,0.5488512219752404
SGDClassifier,20.146206617355347,0.7932296431838975,0.7946663139858255,0.8597901737001976,0.7841792864616177,0.5522240712110964
LogisticRegressionL1,245.38753962516785,0.7909423604757548,0.79236859510146,0.8598261154855642,0.7835928744024061,0.547094384152991
LogisticRegressionElasticNet,991.2611134052277,0.7904849039341263,0.7918344449267116,0.8598721946975729,0.7837394860670912,0.5456143233801948
